mid,gid
0,0
1,1
1,2
1,3
1,4
2,0
2,5
3,0
3,6
3,7
4,6
4,2
4,8
4,4
5,1
5,2
5,9
5,10
6,0
7,1
7,10
8,0
8,11
9,1
9,11
10,0
10,9
10,11
11,0
12,0
12,12
13,0
13,6
14,0
14,11
15,0
15,13
15,14
16,0
16,15
16,9
16,14
16,11
16,16
17,6
17,5
17,3
17,4
18,0
18,9
19,0
19,17
19,3
20,1
20,11
21,0
21,13
22,0
22,1
22,11
23,0
23,6
24,0
25,0
25,10
25,14
25,4
26,0
26,6
26,10
27,0
27,1
27,13
27,14
27,18
27,4
28,0
28,13
28,14
29,0
30,0
30,13
30,14
31,1
31,8
31,19
32,0
32,11
33,0
33,6
33,12
34,0
34,3
35,15
35,3
36,6
36,3
36,4
37,6
37,8
37,5
37,3
37,4
38,0
38,13
38,7
39,0
39,15
39,17
40,8
40,14
41,0
42,6
42,15
42,2
43,0
43,11
44,1
44,19
44,20
45,0
45,6
46,0
46,11
47,1
47,8
47,9
47,10
47,11
47,4
48,0
48,1
48,11
49,6
49,2
50,6
50,1
50,2
50,8
50,3
50,4
51,0
51,6
51,15
51,10
52,0
52,15
53,0
54,6
54,1
54,8
54,3
54,4
55,0
55,9
55,11
56,0
56,15
56,12
57,0
57,6
57,1
57,10
57,11
58,1
58,13
58,11
59,0
59,14
59,18
60,0
60,10
60,13
60,14
61,0
61,10
62,9
62,10
62,21
63,0
63,1
63,9
63,10
63,11
63,4
64,0
64,6
64,2
64,8
64,3
64,4
65,0
65,8
65,14
66,0
67,0
67,15
67,17
67,22
67,13
68,0
68,9
68,3
69,0
69,1
69,2
69,10
69,18
69,4
70,6
70,1
70,2
70,10
70,4
71,0
71,9
71,11
72,0
72,6
72,3
73,6
73,7
74,6
74,15
74,17
75,0
75,2
75,10
76,0
76,13
76,18
76,7
77,1
77,10
77,4
78,0
78,15
78,8
78,3
79,1
79,18
79,3
79,20
80,6
80,8
80,3
81,0
81,6
82,0
83,0
83,1
83,2
83,10
84,6
84,5
85,0
86,6
86,15
87,6
87,15
88,0
88,10
88,14
88,11
89,0
89,6
89,21
90,9
90,10
90,21
91,6
91,1
92,6
92,8
93,0
93,6
93,15
94,0
94,15
95,0
95,11
96,0
96,10
97,9
97,10
97,21
98,0
98,11
99,6
99,15
100,0
101,6
102,1
102,4
103,1
103,2
103,3
103,4
104,0
104,13
104,14
105,1
105,10
105,11
106,6
106,8
107,6
107,23
108,0
108,14
108,18
109,0
109,1
109,11
110,0
111,6
111,15
112,0
112,15
113,1
113,10
113,11
114,0
114,6
115,0
116,0
116,6
117,0
117,6
117,15
118,0
118,10
119,1
119,10
120,0
120,9
120,10
120,21
120,11
121,3
122,0
122,9
122,11
123,9
123,11
124,1
125,0
125,1
126,21
127,6
128,0
128,15
128,14
129,0
130,0
130,11
131,0
131,11
132,0
132,6
132,10
133,0
134,0
134,1
134,4
134,7
135,15
136,0
136,13
137,0
138,1
138,10
139,0
139,9
139,11
140,0
140,6
140,1
140,2
140,8
140,3
140,4
141,15
141,17
142,9
142,10
142,21
143,15
144,0
144,13
144,7
145,6
145,8
145,4
146,1
146,3
146,4
147,0
147,21
148,0
148,1
148,11
149,0
149,6
149,13
150,6
151,0
151,12
152,0
152,1
152,9
152,11
153,0
154,0
154,8
154,22
155,1
155,10
156,6
156,15
156,17
157,0
157,9
157,11
158,0
158,6
159,1
159,10
159,18
160,15
160,17
161,0
161,22
161,13
162,15
162,3
163,1
163,11
164,6
164,15
164,2
164,8
164,3
164,4
165,9
165,10
165,21
166,15
166,17
167,0
167,6
168,0
168,15
169,1
169,9
169,10
169,11
169,4
170,0
171,0
172,9
172,10
172,21
173,6
173,1
173,11
174,21
175,1
175,2
175,10
175,4
177,0
177,6
177,2
178,0
179,0
180,0
180,1
181,0
182,6
182,21
183,1
183,2
183,4
184,0
184,15
184,12
185,0
185,6
185,15
186,0
186,15
187,8
188,6
188,21
188,14
188,3
189,6
189,8
189,4
190,0
190,15
190,17
191,6
191,1
191,2
191,8
191,3
191,4
192,15
192,9
192,11
193,9
193,10
194,0
194,1
194,11
195,6
195,8
195,5
196,9
196,11
197,1
197,2
197,4
198,0
198,12
199,0
199,15
199,8
200,0
200,1
200,11
201,0
202,0
202,11
203,0
203,1
203,18
204,6
204,1
204,2
204,4
205,0
206,6
206,15
207,0
207,13
207,14
207,18
208,0
209,0
209,6
210,0
210,6
210,21
210,3
211,8
211,22
212,0
212,8
213,0
213,6
213,11
214,0
214,1
214,9
215,6
215,1
215,10
215,11
216,10
216,21
217,1
217,11
217,24
218,6
218,12
219,0
219,15
220,0
221,0
221,2
221,8
222,6
223,0
224,0
225,6
226,6
226,1
226,3
226,4
227,0
227,15
227,3
228,6
228,8
228,22
228,12
228,3
228,4
229,6
229,10
230,0
230,10
230,11
231,8
232,0
232,6
232,1
233,0
233,12
234,0
234,6
234,13
234,14
235,21
236,21
237,6
237,15
237,3
238,0
239,0
239,6
239,15
240,0
240,6
240,12
241,0
241,1
242,6
242,8
242,5
243,6
243,1
243,15
243,4
244,0
244,10
244,11
245,0
245,25
246,0
246,20
247,0
247,12
247,7
248,9
249,0
250,1
250,9
251,6
251,3
252,0
252,11
253,1
253,10
253,11
254,2
254,10
254,21
255,9
255,21
256,0
256,17
257,9
257,10
257,11
258,0
258,13
258,14
259,15
259,8
260,0
260,1
261,10
261,21
262,10
262,21
263,0
263,6
263,1
263,2
263,8
263,3
263,4
264,0
264,14
265,0
265,4
266,0
266,6
266,9
266,21
266,3
267,0
267,6
268,9
268,21
269,0
269,1
269,2
270,9
270,10
270,21
271,6
271,15
272,0
272,15
273,6
273,21
273,3
274,0
275,1
275,14
275,4
276,0
276,6
276,1
277,0
277,9
277,10
278,0
279,0
279,8
279,3
280,0
281,1
281,10
282,6
282,11
283,0
283,15
283,21
283,17
284,0
284,10
284,11
285,6
285,1
286,15
286,3
287,0
287,14
288,2
288,8
289,1
289,9
289,10
290,0
291,0
292,15
292,8
292,17
293,0
293,15
294,0
294,10
295,10
295,21
296,0
296,1
296,9
296,10
296,11
297,0
298,0
298,15
299,1
299,8
299,10
299,21
299,3
299,4
300,0
300,10
301,0
301,15
302,0
302,7
303,1
303,10
303,11
304,1
304,4
305,0
306,9
306,10
306,21
307,6
308,0
308,12
309,0
310,0
311,0
311,7
312,0
312,13
312,14
313,0
314,0
314,9
314,11
315,6
315,8
315,3
316,0
317,0
317,17
318,0
318,1
319,1
319,11
320,6
320,15
321,6
321,1
321,8
321,3
321,4
322,6
322,2
322,8
322,4
323,8
324,10
325,0
326,0
326,1
326,9
327,0
328,0
329,15
330,0
331,0
331,15
331,9
331,4
332,0
332,15
332,14
333,1
333,2
333,10
334,6
334,15
334,12
335,0
335,2
335,8
336,0
336,1
336,21
337,0
338,0
338,10
339,0
339,1
339,3
339,20
340,0
341,0
341,17
342,9
342,21
343,0
344,1
344,10
344,11
345,10
346,0
346,6
346,15
347,0
347,18
348,0
348,6
348,1
348,14
348,20
349,6
349,21
350,6
350,1
350,15
350,9
350,11
351,1
352,0
352,18
353,1
353,3
354,0
355,6
355,15
356,1
356,10
356,11
357,6
358,0
358,1
358,2
358,8
358,10
358,3
358,4
359,1
359,2
359,8
359,3
359,4
360,15
361,6
361,15
362,10
363,0
363,2
363,9
363,10
364,2
364,21
365,0
365,8
365,3
366,6
367,6
367,15
368,1
368,10
369,0
370,0
370,6
370,15
371,0
371,2
372,6
372,10
373,0
373,1
373,9
373,10
373,4
374,0
375,0
376,10
376,21
376,20
377,0
377,14
377,11
377,16
378,0
379,0
379,3
380,1
380,21
381,0
382,0
383,6
383,1
383,15
383,11
384,0
385,0
385,6
386,0
387,6
387,17
388,0
389,0
389,13
390,0
390,1
390,9
390,10
390,11
391,2
391,4
392,0
393,6
393,15
394,0
395,0
395,10
396,0
396,10
397,0
397,6
398,0
399,0
400,0
400,2
400,4
401,0
401,6
401,15
402,0
402,6
403,0
403,6
404,6
405,0
405,1
405,18
406,0
407,2
407,21
408,0
408,6
409,0
409,1
409,18
410,0
410,7
411,21
411,11
412,6
412,8
412,3
413,6
413,9
413,21
413,4
414,0
414,15
415,0
415,1
415,10
415,11
417,6
417,15
418,0
419,0
419,1
420,21
421,0
421,6
421,8
422,0
422,1
422,14
423,0
424,0
425,0
425,13
425,7
426,0
426,15
427,6
427,2
427,8
427,4
428,1
428,2
428,9
429,10
429,21
430,0
430,12
431,6
431,1
431,4
432,6
432,15
433,0
433,9
433,11
434,6
434,9
434,10
434,11
435,1
435,10
435,11
436,21
437,0
